count,angry,disgust,fear,happy,neutral,sad,surprise,temperature,light,genre
1,0,0,0,0,0,1,0,24.22,68,dark ambient
17,0,1,0,0,0,0,0,17.62,133,rock
12,0,0,0,0,1,0,0,19.89,142,jazz
17,0,0,0,0,1,0,0,19.79,50,jazz
9,0,0,1,0,0,0,0,17.33,210,dark ambient
9,1,0,0,0,0,0,0,18.09,190,metal
16,1,0,0,0,0,0,0,25.23,145,metal
9,0,0,0,0,0,0,1,18.52,65,electronic
19,0,0,0,0,0,1,0,28.32,189,dark ambient
5,0,0,0,0,0,1,0,18.48,119,dark ambient
18,0,0,0,0,0,1,0,29.48,201,classical
17,1,0,0,0,0,0,0,18.69,125,metal
10,0,0,0,1,0,0,0,17.64,33,pop
11,0,0,0,0,0,0,1,23.75,98,electronic
5,0,0,1,0,0,0,0,20.12,167,dark ambient
7,0,0,0,0,0,1,0,28.32,52,dark ambient
6,0,0,0,1,0,0,0,29.18,131,pop
1,0,0,0,1,0,0,0,24.54,145,pop
1,0,0,0,1,0,0,0,23.67,145,pop
14,0,1,0,0,0,0,0,26.51,51,metal
12,0,0,1,0,0,0,0,23.67,59,rock
9,1,0,0,0,0,0,0,19.47,156,metal
5,1,0,0,0,0,0,0,23.41,219,rock
3,0,1,0,0,0,0,0,19.61,217,rock
12,0,1,0,0,0,0,0,27.17,220,metal
17,0,0,0,0,0,1,0,21.44,115,dark ambient
20,0,0,1,0,0,0,0,24.05,61,rock
18,0,1,0,0,0,0,0,28.3,47,metal
2,0,0,0,1,0,0,0,27.69,181,pop
1,0,0,0,0,0,0,1,23.95,74,pop
11,0,0,1,0,0,0,0,24.22,103,rock
4,0,0,0,0,1,0,0,29.72,44,classical
15,0,0,0,0,1,0,0,24.46,120,jazz
5,0,1,0,0,0,0,0,26.98,88,rock
18,0,0,0,0,1,0,0,21.36,144,jazz
3,0,0,0,1,0,0,0,18.99,107,pop
14,0,0,1,0,0,0,0,21.37,115,rock
14,0,0,0,0,0,1,0,17.9,146,dark ambient
5,0,1,0,0,0,0,0,21.41,150,rock
17,0,0,0,0,0,1,0,24.14,75,dark ambient
18,0,0,0,0,0,0,1,19.62,137,electronic
12,0,1,0,0,0,0,0,24.51,203,metal
20,0,0,0,0,0,0,1,27.25,187,electronic
7,0,0,0,0,0,0,1,23.15,153,electronic
17,0,0,0,0,0,0,1,24.28,157,electronic
9,0,0,0,0,1,0,0,26.39,190,jazz
3,0,0,0,0,0,1,0,29.55,153,dark ambient
6,0,0,0,0,0,1,0,21.85,43,dark ambient
10,0,0,0,1,0,0,0,20.32,183,pop
19,0,0,0,0,0,0,1,18.92,97,electronic
20,0,0,0,0,1,0,0,29.51,88,jazz
18,0,0,1,0,0,0,0,26.8,143,rock
16,1,0,0,0,0,0,0,22.92,112,metal
20,0,0,1,0,0,0,0,24.14,210,rock
11,0,0,0,0,0,1,0,24.84,211,classical
9,0,0,0,0,1,0,0,26.32,103,jazz
11,0,0,0,0,1,0,0,18.49,51,jazz
18,0,0,0,0,1,0,0,17.48,106,jazz
5,0,1,0,0,0,0,0,27.97,190,rock
2,0,0,0,0,0,0,1,22.11,150,pop
10,0,0,0,1,0,0,0,28.63,178,pop
8,1,0,0,0,0,0,0,23.35,208,rock
1,0,0,1,0,0,0,0,19.67,40,dark ambient
5,0,0,0,0,0,1,0,29.72,188,dark ambient
7,0,0,0,0,0,0,1,25.32,219,electronic
19,0,0,0,0,0,0,1,29.83,190,electronic
19,0,0,0,0,0,1,0,29.31,218,classical
3,0,0,0,1,0,0,0,23.15,54,pop
5,0,0,0,1,0,0,0,28.38,205,pop
19,0,0,1,0,0,0,0,18.46,192,rock
10,0,0,1,0,0,0,0,29.01,72,rock
6,0,0,0,0,0,1,0,24.75,55,dark ambient
14,0,0,0,1,0,0,0,26.13,94,electronic
20,0,0,0,0,1,0,0,17.31,160,jazz
17,0,0,0,0,0,0,1,20.4,148,electronic
14,0,0,0,0,0,0,1,17.28,208,electronic
13,0,0,0,0,0,1,0,21.99,58,dark ambient
6,0,0,1,0,0,0,0,21.69,147,dark ambient
6,0,0,0,0,0,1,0,17.46,52,dark ambient
15,0,0,0,0,1,0,0,28.67,51,jazz
1,0,0,0,0,0,1,0,27.54,172,dark ambient
8,0,1,0,0,0,0,0,19.79,102,rock
3,0,1,0,0,0,0,0,20.34,107,rock
4,0,1,0,0,0,0,0,27.11,161,rock
18,0,0,1,0,0,0,0,29.05,61,rock
11,1,0,0,0,0,0,0,27.18,128,metal
15,0,0,0,0,0,0,1,28.97,112,electronic
18,0,0,0,1,0,0,0,26.14,150,electronic
17,0,0,0,1,0,0,0,28.21,55,electronic
13,0,1,0,0,0,0,0,29.48,116,metal
16,0,0,0,0,0,0,1,29.27,37,electronic
20,0,1,0,0,0,0,0,25.83,73,metal
17,0,0,0,0,0,1,0,18.25,195,dark ambient
19,0,0,0,0,0,0,1,29.89,171,electronic
16,0,0,0,0,1,0,0,22.78,219,jazz
11,1,0,0,0,0,0,0,24.59,202,rock
3,0,0,0,0,1,0,0,21.36,167,classical
11,0,0,0,0,1,0,0,17.48,70,jazz
19,0,0,0,0,1,0,0,28.59,62,jazz
11,1,0,0,0,0,0,0,28.67,153,metal
6,0,0,0,0,0,0,1,26.56,78,electronic
15,1,0,0,0,0,0,0,23.78,149,metal
16,1,0,0,0,0,0,0,27.59,122,metal
7,1,0,0,0,0,0,0,20.62,96,metal
20,0,0,0,1,0,0,0,25.68,128,electronic
8,0,0,0,0,0,1,0,29.94,146,dark ambient
13,0,0,0,0,0,0,1,27.54,178,electronic
13,0,0,0,0,0,1,0,24.56,68,dark ambient
16,0,1,0,0,0,0,0,22.54,150,metal
17,0,0,0,0,1,0,0,22.6,59,jazz
12,1,0,0,0,0,0,0,17.79,78,metal
12,0,0,0,0,0,1,0,26.52,167,dark ambient
2,1,0,0,0,0,0,0,28.93,133,metal
14,1,0,0,0,0,0,0,27.32,86,metal
10,0,0,0,1,0,0,0,17.9,116,pop
8,0,0,0,0,0,1,0,21.03,89,dark ambient
20,0,0,1,0,0,0,0,29.01,179,rock
20,0,0,0,0,0,0,1,20.32,50,electronic
16,0,0,0,0,0,1,0,28.28,112,dark ambient
20,0,0,1,0,0,0,0,22.74,97,rock
16,1,0,0,0,0,0,0,20.34,114,metal
11,0,0,0,0,1,0,0,22.12,191,jazz
16,0,0,1,0,0,0,0,26.27,112,rock
13,0,0,0,0,0,0,1,24.95,144,electronic
19,0,0,0,0,1,0,0,28.28,84,jazz
3,0,0,1,0,0,0,0,21.5,81,dark ambient
14,0,0,0,0,1,0,0,28.48,187,jazz
20,0,0,0,1,0,0,0,18.53,161,electronic
12,1,0,0,0,0,0,0,26.38,82,metal
17,0,0,1,0,0,0,0,22.93,100,rock
11,1,0,0,0,0,0,0,28.93,85,metal
4,1,0,0,0,0,0,0,26.62,171,metal
10,0,1,0,0,0,0,0,17.81,145,rock
19,0,0,0,0,1,0,0,24.87,105,jazz
6,0,0,0,0,0,0,1,17.99,156,electronic
17,1,0,0,0,0,0,0,18.97,98,metal
2,1,0,0,0,0,0,0,25.83,98,metal
10,0,0,0,0,0,0,1,22.88,169,electronic
19,0,0,1,0,0,0,0,25.04,194,rock
17,0,0,0,1,0,0,0,29.94,67,electronic
5,0,0,1,0,0,0,0,28.48,213,dark ambient
15,0,0,1,0,0,0,0,23.32,157,rock
1,1,0,0,0,0,0,0,23.8,155,metal
4,0,1,0,0,0,0,0,20.96,89,rock
19,1,0,0,0,0,0,0,22.83,182,metal
14,0,0,0,0,1,0,0,18.58,205,jazz
18,0,0,0,0,0,1,0,17.42,112,dark ambient
11,0,0,0,0,1,0,0,28.05,144,jazz
8,0,1,0,0,0,0,0,18.1,102,rock
4,0,0,0,0,0,1,0,23.16,212,classical
15,0,1,0,0,0,0,0,28.84,178,metal
5,0,1,0,0,0,0,0,18.58,62,rock
17,0,0,1,0,0,0,0,28.84,197,rock
13,0,0,0,1,0,0,0,17.38,210,pop
15,0,0,0,0,0,1,0,17.72,59,dark ambient
9,0,0,0,1,0,0,0,22.51,54,pop
20,0,0,1,0,0,0,0,28.17,210,rock
8,0,0,0,0,0,1,0,19.9,205,classical
17,0,0,0,0,1,0,0,26.44,188,jazz
12,1,0,0,0,0,0,0,19.47,41,metal
20,0,0,0,1,0,0,0,24.2,214,pop
12,0,0,0,1,0,0,0,17.86,101,electronic
6,1,0,0,0,0,0,0,24.58,58,metal
15,0,0,0,1,0,0,0,19.3,76,electronic
19,0,1,0,0,0,0,0,22.69,149,metal
12,0,0,0,1,0,0,0,24.05,181,electronic
6,1,0,0,0,0,0,0,24.31,94,metal
11,0,1,0,0,0,0,0,29.95,190,metal
11,0,1,0,0,0,0,0,24.49,65,metal
5,0,0,0,0,0,1,0,18.5,208,classical
3,0,0,0,0,0,1,0,18.19,85,dark ambient
8,0,0,1,0,0,0,0,18.16,197,dark ambient
1,0,0,0,0,1,0,0,24.51,208,classical
12,1,0,0,0,0,0,0,24.25,210,rock
15,0,0,0,0,1,0,0,19.52,218,jazz
8,0,1,0,0,0,0,0,18.16,195,rock
20,0,0,0,0,1,0,0,29.25,135,jazz
15,0,0,1,0,0,0,0,18.84,161,rock
15,0,0,1,0,0,0,0,27.99,81,rock
6,0,0,0,0,1,0,0,19.66,154,classical
7,1,0,0,0,0,0,0,24.51,94,metal
19,0,1,0,0,0,0,0,26.13,94,metal
17,0,0,1,0,0,0,0,25.98,201,rock
13,0,0,1,0,0,0,0,21.88,127,rock
4,0,0,0,0,0,1,0,28.33,143,dark ambient
16,0,1,0,0,0,0,0,22.69,174,metal
16,0,0,0,0,0,1,0,26.58,122,dark ambient
17,1,0,0,0,0,0,0,18.31,80,metal
9,0,0,1,0,0,0,0,22.43,121,dark ambient
16,1,0,0,0,0,0,0,25.32,167,metal
18,1,0,0,0,0,0,0,27.99,209,rock
3,0,1,0,0,0,0,0,24.22,92,rock
4,0,1,0,0,0,0,0,20.37,123,rock
7,1,0,0,0,0,0,0,27.71,122,metal
14,1,0,0,0,0,0,0,19.77,56,metal
7,0,0,0,0,0,1,0,28.83,120,dark ambient
11,0,1,0,0,0,0,0,29.01,202,metal
9,0,0,0,0,1,0,0,19.77,218,jazz
6,0,0,1,0,0,0,0,21.08,183,dark ambient
10,0,0,0,1,0,0,0,26.08,197,pop
15,0,0,0,0,0,1,0,18.19,74,dark ambient
12,0,0,0,0,1,0,0,24.97,158,jazz
9,0,1,0,0,0,0,0,24.22,68,rock
14,0,0,0,0,1,0,0,28.97,68,jazz
6,0,0,0,1,0,0,0,20.51,36,pop
7,0,0,0,0,0,1,0,21.41,99,dark ambient
16,0,1,0,0,0,0,0,27.4,129,metal
3,0,0,0,0,0,1,0,21.26,70,dark ambient
6,0,1,0,0,0,0,0,28.84,167,rock
17,0,0,0,0,0,0,1,21.63,148,electronic
18,0,1,0,0,0,0,0,17.98,115,rock
9,0,0,0,0,0,0,1,25.7,209,electronic
20,0,0,0,0,0,0,1,22.19,86,electronic
11,0,0,0,0,0,0,1,25.71,156,electronic
8,0,0,0,0,0,1,0,18.0,42,dark ambient
14,0,0,1,0,0,0,0,26.67,165,rock
20,0,0,1,0,0,0,0,23.35,96,rock
20,0,0,0,1,0,0,0,24.57,97,electronic
20,1,0,0,0,0,0,0,25.86,200,rock
13,0,0,0,0,0,1,0,21.2,51,dark ambient
13,0,1,0,0,0,0,0,26.38,195,metal
1,0,0,0,1,0,0,0,24.05,124,pop
13,0,0,0,1,0,0,0,26.75,192,electronic
20,0,1,0,0,0,0,0,17.81,132,rock
6,0,0,0,0,1,0,0,20.77,75,classical
5,0,1,0,0,0,0,0,21.74,173,rock
13,0,0,0,0,0,1,0,22.41,151,dark ambient
12,1,0,0,0,0,0,0,28.05,98,metal
19,0,0,0,0,1,0,0,28.67,51,jazz
19,0,0,0,0,1,0,0,17.2,59,jazz
16,0,0,0,1,0,0,0,19.77,133,electronic
14,0,0,0,0,0,0,1,18.37,194,electronic
2,0,0,0,0,1,0,0,21.68,123,classical
2,0,0,0,0,0,0,1,18.41,219,pop
2,0,1,0,0,0,0,0,25.56,198,rock
15,0,0,0,1,0,0,0,27.68,189,electronic
19,0,0,1,0,0,0,0,29.7,148,rock
14,0,0,0,0,0,1,0,26.11,195,dark ambient
9,0,0,0,0,0,1,0,20.96,145,dark ambient
15,0,0,1,0,0,0,0,21.08,165,rock
19,1,0,0,0,0,0,0,27.69,43,metal
7,0,0,0,0,0,0,1,29.95,86,electronic
12,0,0,0,0,0,0,1,25.56,133,electronic
15,0,1,0,0,0,0,0,19.89,117,rock
8,0,1,0,0,0,0,0,25.29,181,rock
20,0,0,0,0,0,1,0,18.11,113,dark ambient
18,0,1,0,0,0,0,0,27.68,198,metal
17,0,0,0,0,0,0,1,22.12,109,electronic
14,0,0,1,0,0,0,0,21.66,89,rock
7,0,0,1,0,0,0,0,24.71,145,dark ambient
18,0,0,1,0,0,0,0,18.55,50,rock
12,1,0,0,0,0,0,0,29.72,122,metal
7,0,0,0,1,0,0,0,23.31,81,pop
4,0,1,0,0,0,0,0,20.86,201,rock
7,0,0,0,0,0,1,0,28.84,39,dark ambient
9,0,0,0,1,0,0,0,29.58,66,pop
17,0,0,0,1,0,0,0,26.75,103,electronic
5,1,0,0,0,0,0,0,25.93,51,metal
17,0,0,0,0,0,1,0,27.88,219,classical
11,0,1,0,0,0,0,0,27.71,68,metal
8,0,0,0,0,0,0,1,24.22,203,electronic
11,0,0,1,0,0,0,0,20.26,200,rock
15,0,0,1,0,0,0,0,22.69,122,rock
2,0,0,0,1,0,0,0,19.14,215,pop
12,1,0,0,0,0,0,0,28.86,177,metal
19,0,0,1,0,0,0,0,29.39,143,rock
8,0,0,0,0,0,1,0,27.89,77,dark ambient
17,0,0,0,0,0,0,1,24.93,126,electronic
16,0,0,1,0,0,0,0,21.71,120,rock
18,0,0,0,0,1,0,0,24.46,113,jazz
1,1,0,0,0,0,0,0,28.98,72,metal
9,0,0,0,0,1,0,0,29.54,109,jazz
17,0,0,1,0,0,0,0,18.52,144,rock
6,0,0,0,0,0,1,0,25.32,214,classical
12,1,0,0,0,0,0,0,17.57,31,metal
8,0,0,1,0,0,0,0,18.44,192,dark ambient
19,0,0,0,0,0,1,0,23.16,148,dark ambient
3,0,0,0,1,0,0,0,20.96,187,pop
7,0,0,0,0,0,0,1,27.98,158,electronic
14,0,0,1,0,0,0,0,23.29,160,rock
19,0,0,0,1,0,0,0,21.9,68,electronic
15,0,0,1,0,0,0,0,21.51,108,rock
16,0,0,0,0,0,1,0,20.79,176,dark ambient
18,1,0,0,0,0,0,0,28.9,54,metal
9,0,0,0,1,0,0,0,29.48,202,pop
6,0,0,0,1,0,0,0,26.96,109,pop
8,0,0,0,0,0,1,0,25.62,191,dark ambient
10,0,0,0,0,1,0,0,22.85,88,jazz
18,0,0,0,1,0,0,0,21.73,44,electronic
14,0,0,0,0,1,0,0,17.98,131,jazz
16,0,0,1,0,0,0,0,29.94,116,rock
5,0,0,0,0,0,1,0,28.66,116,dark ambient
7,0,0,1,0,0,0,0,17.38,159,dark ambient
1,1,0,0,0,0,0,0,21.5,113,metal
5,0,0,1,0,0,0,0,24.17,45,dark ambient
13,0,1,0,0,0,0,0,26.94,47,metal
1,0,1,0,0,0,0,0,27.38,170,rock
5,0,0,0,1,0,0,0,24.75,172,pop
16,0,0,0,0,0,1,0,24.25,112,dark ambient
3,0,1,0,0,0,0,0,23.56,148,rock
8,0,0,1,0,0,0,0,19.05,187,dark ambient
17,0,0,0,1,0,0,0,27.64,119,electronic
4,1,0,0,0,0,0,0,28.21,133,metal
11,1,0,0,0,0,0,0,22.42,54,metal
15,0,1,0,0,0,0,0,26.34,84,metal
19,0,1,0,0,0,0,0,23.55,120,metal
17,0,0,0,0,0,0,1,28.88,130,electronic
20,0,1,0,0,0,0,0,28.0,58,metal
19,0,0,1,0,0,0,0,26.54,104,rock
2,0,0,1,0,0,0,0,18.31,96,dark ambient
20,0,0,0,0,0,0,1,18.84,56,electronic
11,0,0,0,0,0,1,0,22.74,214,classical
18,0,0,0,0,1,0,0,18.58,109,jazz
20,0,0,0,0,1,0,0,26.56,179,jazz
5,0,0,0,0,0,0,1,22.54,214,pop
5,1,0,0,0,0,0,0,23.83,104,metal
